"","stationID","time_hour","temp","humid","wind_speed","pressure"
"1",1,2013-01-01 01:00:00,37.04,53.97,10.35702,1013.9
"2",2,2013-01-01 01:00:00,37.94,54.51,16.11092,1014.4
"3",3,2013-01-01 01:00:00,39.02,44.18,13.80936,1013.7
"4",1,2013-01-01 02:00:00,37.04,53.97,13.80936,1013
"5",2,2013-01-01 02:00:00,37.94,57.04,17.2617,1013.5
"6",3,2013-01-01 02:00:00,39.02,44.18,13.80936,1012.6
"7",1,2013-01-01 03:00:00,37.94,52.09,12.65858,1012.6
"8",2,2013-01-01 03:00:00,39.02,56.77,19.56326,1013
"9",3,2013-01-01 03:00:00,39.92,42.65,14.96014,1012
"10",1,2013-01-01 04:00:00,37.94,54.51,13.80936,1012.7
"11",2,2013-01-01 04:00:00,39.02,59.37,18.41248,1013.2
"12",3,2013-01-01 04:00:00,39.92,46.41,16.11092,1012.3
"13",1,2013-01-01 05:00:00,37.94,57.04,14.96014,1012.8
"14",2,2013-01-01 05:00:00,39.02,56.77,14.96014,1013.2
"15",3,2013-01-01 05:00:00,41,48.39,18.41248,1012.3
"16",1,2013-01-01 07:00:00,39.02,59.37,10.35702,1012
"17",2,2013-01-01 07:00:00,39.02,59.37,12.65858,1012.6
"18",3,2013-01-01 07:00:00,39.92,57.33,13.80936,1011.9
"19",1,2013-01-01 08:00:00,39.02,61.63,8.05546,1012.3
"20",2,2013-01-01 08:00:00,39.02,59.37,11.5078,1012.4
"21",3,2013-01-01 08:00:00,41,54.97,17.2617,1011.5
"22",1,2013-01-01 09:00:00,39.02,64.43,11.5078,1012.5
"23",2,2013-01-01 09:00:00,39.92,59.5,14.96014,1012.7
"24",3,2013-01-01 09:00:00,41,54.97,16.11092,1012
"25",1,2013-01-01 10:00:00,39.92,62.21,12.65858,1012.2
"26",2,2013-01-01 10:00:00,39.92,62.21,17.2617,1012.6
"27",3,2013-01-01 10:00:00,41,54.97,17.2617,1011.8
"28",1,2013-01-01 11:00:00,39.02,64.43,12.65858,1011.9
"29",2,2013-01-01 11:00:00,39.02,61.63,14.96014,1012.1
"30",3,2013-01-01 11:00:00,39.92,54.81,14.96014,1011.4
"31",1,2013-01-01 12:00:00,37.94,67.21,11.5078,1012.4
"32",2,2013-01-01 12:00:00,37.94,64.29,13.80936,1012.6
"33",3,2013-01-01 12:00:00,39.92,54.81,16.11092,1011.7
"34",1,2013-01-01 13:00:00,39.02,64.43,14.96014,1012.2
"35",2,2013-01-01 13:00:00,39.02,64.43,13.80936,1012.5
"36",3,2013-01-01 13:00:00,39.92,57.33,14.96014,1011.9
